ORD,SHEET,GRP,ITEM,VAL_A,VAL_B,VAL_C,TXT_A,TXT_B,TXT_C
1,DQ Scorecard,Completeness,chargeback.resolved_at is null (still open),158,721.00,21.914,Informational,Retain - open cases are a valid business state,chargeback
1,DQ Scorecard,Completeness,transaction.amount is null,0,260287.00,0.000,Blocking,Quarantine - cannot compute value,transaction
1,DQ Scorecard,Completeness,transaction.customer_id is null,0,260287.00,0.000,Informational,Retain,transaction
1,DQ Scorecard,Completeness,transaction.merchant_id is null,1768,260287.00,0.679,Warning,Retain with flag; exclude only from merchant-level breakdowns,transaction
1,DQ Scorecard,Consistency,chargeback raised against a non-captured transaction,0,721.00,0.000,Blocking,Quarantine - a payment that never captured cannot be charged back,chargeback
1,DQ Scorecard,Consistency,chargeback.transaction_id not found in transaction,0,721.00,0.000,Blocking,Exclude,chargeback
1,DQ Scorecard,Consistency,settlement.transaction_id not found in transaction,447,224242.00,0.199,Blocking,Exclude and report as a reconciliation break to Finance Operations,settlement
1,DQ Scorecard,Consistency,transaction has no CREATED lifecycle event,0,260287.00,0.000,Warning,Retain with flag - event pipeline gap,transaction
1,DQ Scorecard,Consistency,transaction.merchant_id not found in merchant,0,260287.00,0.000,Blocking,Quarantine - orphaned merchant reference,transaction
1,DQ Scorecard,Reconciliation,captured transaction with no settlement row,11137,233598.00,4.768,Blocking,Retain with flag and impute the fee from route_cost; excluding them biases recent months,transaction
1,DQ Scorecard,Reconciliation,settlement value does not match transaction value in USD,3038,223795.00,1.357,Blocking,Sum settlement rows to transaction grain before reconciling,settlement
1,DQ Scorecard,Timeliness,chargeback opened before the transaction occurred,0,721.00,0.000,Blocking,Quarantine,chargeback
1,DQ Scorecard,Timeliness,event ingested more than 2 days after it occurred,44386,1000316.00,4.437,Warning,"Retain - use event_time for KPI periods, ingestion_time for lag reporting",payment_event
1,DQ Scorecard,Timeliness,event_time earlier than the parent transaction created_at,0,1000316.00,0.000,Blocking,Quarantine - an event cannot precede its transaction,payment_event
1,DQ Scorecard,Timeliness,settlement dated before the transaction occurred,0,223795.00,0.000,Blocking,Quarantine,settlement
1,DQ Scorecard,Uniqueness,fx_rate composite key is not unique,0,2920.00,0.000,Blocking,Deduplicate,fx_rate
1,DQ Scorecard,Uniqueness,merchant_risk_snapshot composite key is not unique,0,7200.00,0.000,Blocking,Deduplicate,merchant_risk_snapshot
1,DQ Scorecard,Uniqueness,more than one settlement row per transaction,1334,224242.00,0.595,Blocking,Sum fee_amount to transaction grain before joining,settlement
1,DQ Scorecard,Uniqueness,transaction_id is not unique,0,260287.00,0.000,Blocking,Deduplicate - the declared primary key must hold,transaction
1,DQ Scorecard,Validity,fraud_decision.risk_score outside 0 to 1,176568,466451.00,37.853,Blocking,Repair - normalise by model_version before any threshold comparison,fraud_decision
1,DQ Scorecard,Validity,fx_rate.rate_to_usd not positive,0,2920.00,0.000,Blocking,Repair from source,fx_rate
1,DQ Scorecard,Validity,route_cost.variable_fee_pct outside 0 to 0.10,0,3285.00,0.000,Blocking,Repair from source,route_cost
1,DQ Scorecard,Validity,transaction.amount < 0 with status CAPTURED (impossible),390,260287.00,0.150,Blocking,Quarantine - a captured payment cannot carry a negative amount,transaction
